"R0000100","R0029800","R0030400","R0030500","R0031100","R0034300","R0036100","R0038400","R0040500","R0173600","R0214700","R0214800","R0236500","R0241900","R0242700","R0247500","R0248400","R0253300","R0260300","R0424700","R0430000","R0430800","R0435600","R0436500","R0441400","R0443300","R0671400","R0672000","R0677700","R0678500","R0685600","R0686500","R0691500","R0691900","R0692300","R0693400","R0913200","R0913800","R0919400","R0920200","R0927400","R0928500","R0933700","R0934100","R0934500","R0936400","R1221900","R1222500","R1228900","R1230000","R1238200","R1243500","R1243900","R1244300","R1246700"
1,-4,-4,-4,-4,-4,-4,-4,-4,5,3,2,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,-4,-4,-4,-4,-4,-4,-4,-4,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,-4,-4,-4,-4,-4,-4,-4,-4,5,3,2,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,-4,-4,-4,-4,-4,-4,-4,-4,5,3,2,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
5,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
6,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,1,-4,-4,-4,1,1,-4,-4,1,1,-4,-4,-4,1
8,-4,-4,-4,-4,-4,-4,-4,-4,6,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
9,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
10,-4,-4,-4,-4,-4,-4,-4,-4,6,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
