"R0000100","R0000500","R0173600","R0214700","R0214800","R1021800","R1022000","R1022100","R3896810","T3044200","T3044300","T5616100","T5616200"
1,58,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5
2,59,5,3,2,-4,-4,-4,15,-4,-4,-4,-4
3,61,5,3,2,-4,-4,-4,18,-5,-5,-4,-4
4,62,5,3,2,11,0,2,9,-5,-5,0,1
5,59,1,3,1,18,3,6,-5,-5,-5,-5,-5
6,60,1,3,1,18,4,12,11,1,0,-4,-4
7,64,1,3,1,16,-4,-4,12,4,0,-5,-5
8,58,6,3,2,0,2,2,19,2,0,-4,-4
9,63,1,3,1,17,6,21,16,3,1,-4,-4
10,60,6,3,2,21,1,4,7,-5,-5,-5,-5
11,59,1,3,1,20,1,6,2,-5,-5,-5,-5
12,59,5,3,2,0,0,2,-5,-5,-5,-5,-5
13,58,1,3,1,18,4,20,0,-5,-5,-5,-5
14,63,5,3,2,18,5,9,8,1,0,-4,-4
15,64,1,3,1,19,5,21,0,3,0,-4,-4
16,58,5,3,2,16,2,8,2,2,0,-4,-4
17,57,1,3,1,18,2,29,30,-4,-4,-4,-4
18,58,1,3,1,19,0,20,6,3,1,-4,-4
19,57,5,3,2,-5,-5,-5,19,-4,-4,-5,-5
20,59,5,3,2,18,2,12,5,-5,-5,-4,-4
21,61,5,3,2,17,6,11,8,2,1,-4,-4
22,63,5,3,2,0,2,5,22,1,0,-4,-4
23,58,1,3,1,20,2,12,28,-5,-5,-5,-5
24,61,1,3,1,20,2,3,7,-5,-5,-5,-5
25,59,5,3,2,21,0,5,12,3,0,-4,-4
26,62,1,3,1,18,0,5,0,2,0,-5,-5
27,60,5,3,2,20,-4,-4,9,1,0,-4,-4
28,64,5,3,2,17,3,25,8,2,1,-5,-5
29,60,5,3,2,20,0,3,7,2,0,-4,-4
30,58,5,3,2,-5,-5,-5,2,1,0,-4,-4
31,63,4,1,1,0,2,3,4,4,0,-4,-4
32,57,8,1,2,18,0,5,3,-4,-4,-5,-5
33,62,4,1,1,-5,-5,-5,-2,-4,-4,-4,-4
34,58,1,3,1,19,2,20,7,4,0,-4,-4
35,63,5,3,2,0,0,3,3,-5,-5,-5,-5
36,62,1,3,1,10,-4,-4,2,1,0,-4,-4
37,58,5,3,2,18,-4,-4,5,1,0,-4,-4
38,62,5,3,2,18,4,5,19,3,0,-4,-4
39,59,1,3,1,18,2,4,3,2,0,-4,-4
40,60,2,3,1,18,2,10,3,2,0,-4,-4
41,62,2,3,1,16,-4,-4,4,1,0,-4,-4
42,63,1,3,1,17,2,10,13,4,0,-4,-4
43,61,6,3,2,18,1,4,14,-4,-4,-4,-4
44,61,5,3,2,0,-4,-4,1,-4,-4,-4,-4
45,59,1,3,1,17,-4,-4,6,-5,-5,-5,-5
46,62,5,3,2,19,2,5,4,-5,-5,-5,-5
47,59,1,3,1,18,3,20,13,2,0,-4,-4
48,58,2,3,1,20,0,1,11,-5,-5,-5,-5
49,58,5,3,2,18,0,20,10,1,0,-4,-4
50,58,5,3,2,14,6,12,5,5,1,-4,-4
51,63,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5
52,58,1,3,1,17,1,5,-5,-5,-5,-4,-4
53,63,4,1,1,18,-3,-3,44,-4,-4,-4,-4
54,58,1,3,1,17,3,3,5,-4,-4,-4,-4
55,58,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5
56,64,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5
57,58,5,3,2,0,0,2,14,1,0,-4,-4
58,57,5,3,2,-4,-4,-4,0,1,0,-4,-4
59,59,1,3,1,18,0,5,0,-4,-4,-4,-4
60,61,1,3,1,18,2,25,0,-5,-5,-5,-5
61,62,5,3,2,19,1,5,2,2,0,-4,-4
62,64,5,3,2,16,4,28,7,3,0,-4,-4
63,60,1,3,1,18,4,20,-5,3,1,-4,-4
64,61,1,3,1,16,3,15,-5,-5,-5,-5,-5
65,63,5,3,2,18,2,5,-5,-5,-5,-5,-5
66,64,1,3,1,18,6,12,17,-4,-4,-4,-4
67,58,1,3,1,20,1,11,0,2,0,-4,-4
68,62,5,3,2,20,1,25,4,3,0,-4,-4
69,64,1,3,1,18,1,6,-5,2,0,-4,-4
70,61,1,3,1,18,2,17,14,2,0,-4,-4
71,63,1,3,1,0,2,3,12,-1,-1,-4,-4
72,59,5,3,2,18,6,27,2,3,0,-4,-4
73,63,1,3,1,17,6,30,-5,1,0,-4,-4
74,59,5,3,2,17,3,25,3,-5,-5,-5,-5
75,62,5,3,2,18,0,6,4,2,0,-4,-4
76,64,1,3,1,18,3,15,5,-4,-4,-4,-4
77,64,5,3,2,0,2,4,8,2,0,-4,-4
78,57,5,3,2,-4,0,2,7,-5,-5,-5,-5
79,60,1,3,1,0,0,6,2,-5,-5,-5,-5
80,63,1,3,1,18,3,8,17,1,0,-4,-4
81,64,1,3,1,0,0,1,7,-5,-5,-4,-4
82,58,3,2,1,-5,-5,-5,18,-5,-5,-5,-5
83,60,3,2,1,16,6,10,17,-4,-4,-4,-4
84,63,3,2,1,19,-4,-4,6,-4,-4,-4,-4
85,59,3,2,1,-4,-4,-4,34,6,5,-4,-4
86,60,7,2,2,20,3,5,35,2,1,-4,-4
87,63,3,2,1,18,-4,-4,19,2,1,-4,-4
88,57,3,2,1,0,0,3,5,1,0,-4,-4
89,59,7,2,2,-4,-4,-4,5,-5,-5,0,0
90,58,1,3,1,18,2,6,10,1,0,-4,-4
91,63,5,3,2,16,0,3,10,-4,-4,-4,-4
92,62,5,3,2,0,-4,-4,12,1,0,-4,-4
93,64,1,3,1,18,3,3,8,4,2,-4,-4
94,57,1,3,1,17,6,20,6,1,0,-4,-4
95,60,5,3,2,0,0,2,3,2,0,-4,-4
96,61,6,3,2,18,-4,-4,7,2,0,-4,-4
97,58,5,3,2,0,2,3,9,-4,-4,-4,-4
98,57,6,3,2,17,-4,-4,8,-4,-4,-4,-4
99,57,5,3,2,-5,-5,-5,19,1,0,-4,-4
100,63,5,3,2,17,3,12,10,2,0,-4,-4
101,58,1,3,1,-4,-4,-4,31,2,0,-5,-5
102,64,5,3,2,15,1,4,6,3,0,-4,-4
103,58,1,3,1,18,6,10,5,2,0,-4,-4
104,58,5,3,2,16,0,10,-5,-5,-5,-5,-5
105,58,6,3,2,17,1,7,6,2,0,-5,-5
106,61,1,3,1,0,2,5,6,1,0,-4,-4
107,62,1,3,1,0,0,3,9,2,0,-4,-4
108,58,1,3,1,18,1,5,0,1,0,-4,-4
109,62,5,3,2,18,0,2,8,-5,-5,-5,-5
110,57,1,3,1,17,2,15,0,2,1,-4,-4
111,59,5,3,2,0,-4,-4,0,2,0,-4,-4
112,63,5,3,2,0,-4,-4,25,4,0,-4,-4
113,63,1,3,1,17,5,25,-5,-5,-5,-5,-5
114,57,1,3,1,18,2,6,-5,-5,-5,-5,-5
115,60,5,3,2,18,0,3,-5,-5,-5,-4,-4
116,63,5,3,2,19,4,9,-5,-5,-5,-5,-5
117,59,1,3,1,0,0,5,4,2,0,-4,-4
118,61,5,3,2,17,2,8,28,-5,-5,-5,-5
119,57,1,3,1,0,0,4,3,2,0,-4,-4
120,62,1,3,1,0,-4,-4,6,-4,-4,-4,-4
121,64,5,3,2,-4,-4,-4,0,-4,-4,-4,-4
122,61,1,3,1,18,3,20,1,2,0,-4,-4
123,62,1,3,1,-4,0,1,-5,-5,-5,-5,-5
124,61,5,3,2,18,2,6,10,-4,-4,-4,-4
125,57,1,3,1,16,6,12,0,-5,-5,-5,-5
126,58,1,3,1,-4,0,2,11,1,0,-4,-4
127,60,1,3,1,14,-4,-4,-2,-5,-5,-5,-5
128,58,5,3,2,18,0,3,1,2,0,-4,-4
129,60,1,3,1,0,1,2,2,2,0,-4,-4
130,59,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5
131,60,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5
132,59,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5
133,62,5,3,2,0,2,4,12,-5,-5,-4,-4
134,61,1,3,1,18,4,10,11,-4,-4,-5,-5
135,64,1,3,1,17,2,5,7,2,1,-4,-4
136,57,5,3,2,0,-4,-4,21,-4,-4,-4,-4
137,61,5,3,2,18,0,5,0,2,0,-4,-4
138,62,5,3,2,0,0,3,7,3,0,-4,-4
139,63,1,3,1,18,0,6,0,3,2,-5,-5
140,58,5,3,2,18,0,10,22,1,0,-4,-4
141,62,5,3,2,18,0,3,43,1,0,-4,-4
142,60,1,3,1,16,2,3,8,5,1,-5,-5
143,61,5,3,2,18,0,2,0,-4,-4,-5,-5
144,64,5,3,2,18,0,2,5,-4,-4,-4,-4
